id,rfx_line_item_id,vendor_id,is_quoted,raw_price_string,raw_numeric_value,raw_unit,raw_currency,canonical_unit,unit_conversion_factor,normalized_base_price_inr,freight_surcharge_pct,amortized_tooling_inr,payment_term_penalty_inr,true_landed_unit_cost,signal_confidence,spec_confidence,sanity_confidence,composite_certainty,financial_exposure,review_status,source_page_number,source_bounding_box,source_snippet_text,human_override_reason,reviewed_at
QUOTE-VEND-01-PKG-001,PKG-001,VEND-01,1,₹45.00 / box,45.0000,per box,INR,per_box,1.000000,45.000000,0.0000,0.017147,0.000000,45.017147,1.000,1.000,1.000,1.000,HIGH,AUTO_VERIFIED,1,,"Tab ""Line Item Rates"", Cell C2: ₹45.00",,
QUOTE-VEND-02-PKG-001,PKG-001,VEND-02,1,"₹4,250 / 100 pcs",4250.0000,per 100 pcs,INR,per_box,0.010000,42.500000,0.0000,0.000000,0.000000,42.500000,0.800,0.850,1.000,0.885,HIGH,MANDATORY_BUYER_REVIEW,1,"{""page"":1,""x"":142,""y"":380,""w"":280,""h"":50}","Item 1: 600x400x400 5-ply ... Rs. 4,250 per 100 pcs",,
QUOTE-VEND-03-PKG-001,PKG-001,VEND-03,1,₹44.50 / box,44.5000,per box,INR,per_box,1.000000,44.500000,0.0000,0.000000,0.000000,44.500000,0.900,1.000,1.000,0.965,HIGH,AUTO_VERIFIED,1,,Line 1: 600x400x400mm 5-ply @ INR 44.50/box,,
QUOTE-VEND-04-PKG-001,PKG-001,VEND-04,1,$0.5100 / box,0.5100,per box,USD,per_box,1.000000,42.840000,0.0000,0.000000,0.000000,42.840000,0.950,1.000,1.000,0.982,HIGH,AUTO_VERIFIED,1,"{""page"":1,""x"":110,""y"":240,""w"":320,""h"":32}",PKG-001: Heavy Shipper 600x400x400 - $0.51 / unit,,
QUOTE-VEND-05-PKG-001,PKG-001,VEND-05,1,₹44.00 / kg,44.0000,per kg,INR,per_box,1.150000,50.600000,0.0400,0.000000,0.000000,52.624000,0.650,0.650,1.000,0.772,HIGH,MANDATORY_BUYER_REVIEW,1,,"Email clause: ""All 5-ply cartons @ Rs 44/kg base"" (+4% freight extra)",,
QUOTE-VEND-01-PKG-002,PKG-002,VEND-01,1,₹38.10 / box,38.1000,per box,INR,per_box,1.000000,38.100000,0.0000,0.017147,0.000000,38.117147,1.000,1.000,1.000,1.000,HIGH,AUTO_VERIFIED,1,,"Tab ""Line Item Rates"", Cell C3: ₹38.10",,
QUOTE-VEND-02-PKG-002,PKG-002,VEND-02,1,"₹3,900 / 100 pcs",3900.0000,per 100 pcs,INR,per_box,0.010000,39.000000,0.0000,0.000000,0.000000,39.000000,0.800,0.850,1.000,0.885,HIGH,MANDATORY_BUYER_REVIEW,1,"{""page"":1,""x"":142,""y"":435,""w"":280,""h"":48}","Item 2: 550x350x350 5-ply ... Rs. 3,900 per 100 pcs",,
QUOTE-VEND-03-PKG-002,PKG-002,VEND-03,1,₹37.60 / box,37.6000,per box,INR,per_box,1.000000,37.600000,0.0000,0.000000,0.000000,37.600000,0.900,1.000,1.000,0.965,HIGH,AUTO_VERIFIED,1,,Line 2: 550x350x350mm 5-ply @ INR 37.60/box,,
QUOTE-VEND-04-PKG-002,PKG-002,VEND-04,1,$0.4464 / box,0.4464,per box,USD,per_box,1.000000,37.497600,0.0000,0.000000,0.000000,37.497600,0.950,1.000,1.000,0.982,HIGH,AUTO_VERIFIED,1,"{""page"":1,""x"":110,""y"":280,""w"":320,""h"":32}",PKG-002: Std Shipper 550x350x350 - $0.4464 / unit,,
QUOTE-VEND-05-PKG-002,PKG-002,VEND-05,1,₹44.00 / kg,44.0000,per kg,INR,per_box,1.050000,46.200000,0.0400,0.000000,0.000000,48.048000,0.650,0.650,0.600,0.633,HIGH,MANDATORY_BUYER_REVIEW,1,,"Email clause: ""All 5-ply cartons @ Rs 44/kg base"" (+4% freight extra)",,
QUOTE-VEND-01-PKG-003,PKG-003,VEND-01,1,₹35.80 / box,35.8000,per box,INR,per_box,1.000000,35.800000,0.0000,0.017147,0.000000,35.817147,1.000,1.000,1.000,1.000,HIGH,AUTO_VERIFIED,1,,"Tab ""Line Item Rates"", Cell C4: ₹35.80",,
QUOTE-VEND-02-PKG-003,PKG-003,VEND-02,1,"₹3,650 / 100 pcs",3650.0000,per 100 pcs,INR,per_box,0.010000,36.500000,0.0000,0.000000,0.000000,36.500000,0.800,0.850,1.000,0.885,HIGH,MANDATORY_BUYER_REVIEW,1,"{""page"":1,""x"":142,""y"":488,""w"":280,""h"":48}","Item 3: 500x350x300 5-ply ... Rs. 3,650 per 100 pcs",,
QUOTE-VEND-03-PKG-003,PKG-003,VEND-03,1,₹35.40 / box,35.4000,per box,INR,per_box,1.000000,35.400000,0.0000,0.000000,0.000000,35.400000,0.900,1.000,1.000,0.965,HIGH,AUTO_VERIFIED,1,,Line 3: 500x350x300mm 5-ply @ INR 35.40/box,,
QUOTE-VEND-04-PKG-003,PKG-003,VEND-04,1,$0.4226 / box,0.4226,per box,USD,per_box,1.000000,35.498400,0.0000,0.000000,0.000000,35.498400,0.950,1.000,1.000,0.982,HIGH,AUTO_VERIFIED,1,"{""page"":1,""x"":110,""y"":320,""w"":320,""h"":32}",PKG-003: Bulk Shipper 500x350x300 - $0.4226 / unit,,
QUOTE-VEND-05-PKG-003,PKG-003,VEND-05,1,₹44.00 / kg,44.0000,per kg,INR,per_box,0.980000,43.120000,0.0400,0.000000,0.000000,44.844800,0.650,0.650,0.600,0.633,HIGH,MANDATORY_BUYER_REVIEW,1,,"Email clause: ""All 5-ply cartons @ Rs 44/kg base"" (+4% freight extra)",,
QUOTE-VEND-01-PKG-004,PKG-004,VEND-01,1,₹41.50 / box,41.5000,per box,INR,per_box,1.000000,41.500000,0.0000,0.017147,0.000000,41.517147,1.000,1.000,1.000,1.000,HIGH,AUTO_VERIFIED,1,,"Tab ""Line Item Rates"", Cell C5: ₹41.50",,
QUOTE-VEND-02-PKG-004,PKG-004,VEND-02,1,"₹4,180 / 100 pcs",4180.0000,per 100 pcs,INR,per_box,0.010000,41.800000,0.0000,0.000000,0.000000,41.800000,0.800,0.850,1.000,0.885,HIGH,MANDATORY_BUYER_REVIEW,1,"{""page"":1,""x"":142,""y"":540,""w"":280,""h"":48}","Item 4: 500x400x350 5-ply ... Rs. 4,180 per 100 pcs",,
QUOTE-VEND-03-PKG-004,PKG-004,VEND-03,1,₹41.20 / box,41.2000,per box,INR,per_box,1.000000,41.200000,0.0000,0.000000,0.000000,41.200000,0.900,1.000,1.000,0.965,HIGH,AUTO_VERIFIED,1,,Line 4: 500x400x350mm 5-ply @ INR 41.20/box,,
QUOTE-VEND-04-PKG-004,PKG-004,VEND-04,1,$0.4917 / box,0.4917,per box,USD,per_box,1.000000,41.302800,0.0000,0.000000,0.000000,41.302800,0.950,1.000,1.000,0.982,HIGH,AUTO_VERIFIED,1,"{""page"":1,""x"":110,""y"":360,""w"":320,""h"":32}",PKG-004: Export Shipper 500x400x350 - $0.4917 / unit,,
QUOTE-VEND-05-PKG-004,PKG-004,VEND-05,1,₹44.00 / kg,44.0000,per kg,INR,per_box,1.100000,48.400000,0.0400,0.000000,0.000000,50.336000,0.650,0.650,0.600,0.633,HIGH,MANDATORY_BUYER_REVIEW,1,,"Email clause: ""All 5-ply cartons @ Rs 44/kg base"" (+4% freight extra)",,
QUOTE-VEND-01-PKG-005,PKG-005,VEND-01,1,₹39.75 / box,39.7500,per box,INR,per_box,1.000000,39.750000,0.0000,0.017147,0.000000,39.767147,1.000,1.000,1.000,1.000,HIGH,AUTO_VERIFIED,1,,"Tab ""Line Item Rates"", Cell C6: ₹39.75",,
QUOTE-VEND-02-PKG-005,PKG-005,VEND-02,1,"₹3,950 / 100 pcs",3950.0000,per 100 pcs,INR,per_box,0.010000,39.500000,0.0000,0.000000,0.000000,39.500000,0.800,0.850,1.000,0.885,HIGH,MANDATORY_BUYER_REVIEW,1,"{""page"":1,""x"":142,""y"":592,""w"":280,""h"":48}","Item 5: 520x380x320 5-ply ... Rs. 3,950 per 100 pcs",,
QUOTE-VEND-03-PKG-005,PKG-005,VEND-03,1,₹39.20 / box,39.2000,per box,INR,per_box,1.000000,39.200000,0.0000,0.000000,0.000000,39.200000,0.900,1.000,1.000,0.965,HIGH,AUTO_VERIFIED,1,,Line 5: 520x380x320mm 5-ply @ INR 39.20/box,,
QUOTE-VEND-04-PKG-005,PKG-005,VEND-04,1,$0.4680 / box,0.4680,per box,USD,per_box,1.000000,39.312000,0.0000,0.000000,0.000000,39.312000,0.950,1.000,1.000,0.982,HIGH,AUTO_VERIFIED,1,"{""page"":1,""x"":110,""y"":400,""w"":320,""h"":32}",PKG-005: Industrial Shipper 520x380x320 - $0.4680 / unit,,
QUOTE-VEND-05-PKG-005,PKG-005,VEND-05,1,₹44.00 / kg,44.0000,per kg,INR,per_box,1.020000,44.880000,0.0400,0.000000,0.000000,46.675200,0.650,0.650,1.000,0.772,HIGH,MANDATORY_BUYER_REVIEW,1,,"Email clause: ""All 5-ply cartons @ Rs 44/kg base"" (+4% freight extra)",,
QUOTE-VEND-01-PKG-006,PKG-006,VEND-01,1,₹33.90 / box,33.9000,per box,INR,per_box,1.000000,33.900000,0.0000,0.017147,0.000000,33.917147,1.000,1.000,1.000,1.000,HIGH,AUTO_VERIFIED,1,,"Tab ""Line Item Rates"", Cell C7: ₹33.90",,
QUOTE-VEND-02-PKG-006,PKG-006,VEND-02,1,"₹3,450 / 100 pcs",3450.0000,per 100 pcs,INR,per_box,0.010000,34.500000,0.0000,0.000000,0.000000,34.500000,0.800,0.850,1.000,0.885,HIGH,MANDATORY_BUYER_REVIEW,1,"{""page"":1,""x"":142,""y"":645,""w"":280,""h"":48}","Item 6: 480x320x300 5-ply ... Rs. 3,450 per 100 pcs",,
QUOTE-VEND-03-PKG-006,PKG-006,VEND-03,1,₹33.50 / box,33.5000,per box,INR,per_box,1.000000,33.500000,0.0000,0.000000,0.000000,33.500000,0.900,1.000,1.000,0.965,HIGH,AUTO_VERIFIED,1,,Line 6: 480x320x300mm 5-ply @ INR 33.50/box,,
QUOTE-VEND-04-PKG-006,PKG-006,VEND-04,1,$0.3988 / box,0.3988,per box,USD,per_box,1.000000,33.499200,0.0000,0.000000,0.000000,33.499200,0.950,1.000,1.000,0.982,HIGH,AUTO_VERIFIED,1,"{""page"":1,""x"":110,""y"":440,""w"":320,""h"":32}",PKG-006: Warehouse Box 480x320x300 - $0.3988 / unit,,
QUOTE-VEND-05-PKG-006,PKG-006,VEND-05,1,₹44.00 / kg,44.0000,per kg,INR,per_box,0.900000,39.600000,0.0400,0.000000,0.000000,41.184000,0.650,0.650,0.600,0.633,HIGH,MANDATORY_BUYER_REVIEW,1,,"Email clause: ""All 5-ply cartons @ Rs 44/kg base"" (+4% freight extra)",,
QUOTE-VEND-01-PKG-007,PKG-007,VEND-01,1,₹31.80 / box,31.8000,per box,INR,per_box,1.000000,31.800000,0.0000,0.017147,0.000000,31.817147,1.000,1.000,1.000,1.000,MEDIUM,AUTO_VERIFIED,1,,"Tab ""Line Item Rates"", Cell C8: ₹31.80",,
QUOTE-VEND-02-PKG-007,PKG-007,VEND-02,1,"₹3,220 / 100 pcs",3220.0000,per 100 pcs,INR,per_box,0.010000,32.200000,0.0000,0.000000,0.000000,32.200000,0.800,0.850,1.000,0.885,MEDIUM,AUTO_VERIFIED,1,"{""page"":1,""x"":142,""y"":698,""w"":280,""h"":48}","Item 7: 450x300x300 5-ply ... Rs. 3,220 per 100 pcs",,
QUOTE-VEND-03-PKG-007,PKG-007,VEND-03,1,₹31.40 / box,31.4000,per box,INR,per_box,1.000000,31.400000,0.0000,0.000000,0.000000,31.400000,0.900,1.000,1.000,0.965,MEDIUM,AUTO_VERIFIED,1,,Line 7: 450x300x300mm 5-ply @ INR 31.40/box,,
QUOTE-VEND-04-PKG-007,PKG-007,VEND-04,1,$0.3750 / box,0.3750,per box,USD,per_box,1.000000,31.500000,0.0000,0.000000,0.000000,31.500000,0.950,1.000,1.000,0.982,MEDIUM,AUTO_VERIFIED,1,"{""page"":1,""x"":110,""y"":480,""w"":320,""h"":32}",PKG-007: Freight Carton 450x300x300 - $0.3750 / unit,,
QUOTE-VEND-05-PKG-007,PKG-007,VEND-05,1,₹44.00 / kg,44.0000,per kg,INR,per_box,0.850000,37.400000,0.0400,0.000000,0.000000,38.896000,0.650,0.650,0.600,0.633,MEDIUM,MANDATORY_BUYER_REVIEW,1,,"Email clause: ""All 5-ply cartons @ Rs 44/kg base"" (+4% freight extra)",,
QUOTE-VEND-01-PKG-008,PKG-008,VEND-01,1,₹29.50 / box,29.5000,per box,INR,per_box,1.000000,29.500000,0.0000,0.017147,0.000000,29.517147,1.000,1.000,1.000,1.000,MEDIUM,AUTO_VERIFIED,1,,"Tab ""Line Item Rates"", Cell C9: ₹29.50",,
QUOTE-VEND-02-PKG-008,PKG-008,VEND-02,1,"₹3,020 / 100 pcs",3020.0000,per 100 pcs,INR,per_box,0.010000,30.200000,0.0000,0.000000,0.000000,30.200000,0.800,0.850,1.000,0.885,MEDIUM,AUTO_VERIFIED,1,"{""page"":1,""x"":142,""y"":750,""w"":280,""h"":48}","Item 8: 420x300x280 5-ply ... Rs. 3,020 per 100 pcs",,
QUOTE-VEND-03-PKG-008,PKG-008,VEND-03,1,₹29.20 / box,29.2000,per box,INR,per_box,1.000000,29.200000,0.0000,0.000000,0.000000,29.200000,0.900,1.000,1.000,0.965,MEDIUM,AUTO_VERIFIED,1,,Line 8: 420x300x280mm 5-ply @ INR 29.20/box,,
QUOTE-VEND-04-PKG-008,PKG-008,VEND-04,1,$0.3512 / box,0.3512,per box,USD,per_box,1.000000,29.500800,0.0000,0.000000,0.000000,29.500800,0.950,1.000,1.000,0.982,MEDIUM,AUTO_VERIFIED,1,"{""page"":1,""x"":110,""y"":520,""w"":320,""h"":32}",PKG-008: Heavy Shipper 420x300x280 - $0.3512 / unit,,
QUOTE-VEND-05-PKG-008,PKG-008,VEND-05,1,₹44.00 / kg,44.0000,per kg,INR,per_box,0.800000,35.200000,0.0400,0.000000,0.000000,36.608000,0.650,0.650,0.600,0.633,MEDIUM,MANDATORY_BUYER_REVIEW,1,,"Email clause: ""All 5-ply cartons @ Rs 44/kg base"" (+4% freight extra)",,
QUOTE-VEND-01-PKG-009,PKG-009,VEND-01,1,₹47.60 / box,47.6000,per box,INR,per_box,1.000000,47.600000,0.0000,0.017147,0.000000,47.617147,1.000,1.000,1.000,1.000,HIGH,AUTO_VERIFIED,1,,"Tab ""Line Item Rates"", Cell C10: ₹47.60",,
QUOTE-VEND-02-PKG-009,PKG-009,VEND-02,1,"₹4,820 / 100 pcs",4820.0000,per 100 pcs,INR,per_box,0.010000,48.200000,0.0000,0.000000,0.000000,48.200000,0.800,0.850,1.000,0.885,HIGH,MANDATORY_BUYER_REVIEW,1,"{""page"":1,""x"":142,""y"":802,""w"":280,""h"":48}","Item 9: 600x450x400 5-ply ... Rs. 4,820 per 100 pcs",,
QUOTE-VEND-03-PKG-009,PKG-009,VEND-03,1,₹47.00 / box,47.0000,per box,INR,per_box,1.000000,47.000000,0.0000,0.000000,0.000000,47.000000,0.900,1.000,1.000,0.965,HIGH,AUTO_VERIFIED,1,,Line 9: 600x450x400mm 5-ply @ INR 47.00/box,,
QUOTE-VEND-04-PKG-009,PKG-009,VEND-04,1,$0.5655 / box,0.5655,per box,USD,per_box,1.000000,47.502000,0.0000,0.000000,0.000000,47.502000,0.950,1.000,1.000,0.982,HIGH,AUTO_VERIFIED,1,"{""page"":1,""x"":110,""y"":560,""w"":320,""h"":32}",PKG-009: Jumbo Shipper 600x450x400 - $0.5655 / unit,,
QUOTE-VEND-05-PKG-009,PKG-009,VEND-05,1,₹44.00 / kg,44.0000,per kg,INR,per_box,1.200000,52.800000,0.0400,0.000000,0.000000,54.912000,0.650,0.650,1.000,0.772,HIGH,MANDATORY_BUYER_REVIEW,1,,"Email clause: ""All 5-ply cartons @ Rs 44/kg base"" (+4% freight extra)",,
